City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
340,thompson,55.7435,-97.8558,-27.91,76,40,2.57,CA,1670195733
341,carutapera,-1.195,-46.02,25.59,83,44,3.47,BR,1670196030
342,disna,55.568,28.1971,-6.18,85,100,4.53,BY,1670196030
343,pitimbu,-7.4706,-34.8086,26.33,78,12,5.25,BR,1670196031
344,izumo,35.3667,132.7667,8.97,81,75,3.6,JP,1670196031
345,poole,50.7167,-2.0,5.56,84,100,1.79,GB,1670196032
346,bogale,16.2833,95.4,23.97,85,51,1.88,MM,1670196032
347,carahue,-38.7,-73.1667,15.76,64,25,2.73,CL,1670196033
348,longyearbyen,78.2186,15.6401,-0.09,93,100,1.54,SJ,1670196033
349,cessnock,-32.8333,151.35,26.09,40,4,2.67,AU,1670196033
350,havelock,34.8791,-76.9013,9.97,75,75,4.63,US,1670195636
351,bedford,52.1346,-0.4663,4.52,93,100,4.29,GB,1670195900
352,kibaya,-5.3,36.5667,15.76,92,99,1.53,TZ,1670196034
353,onguday,50.75,86.15,-12.15,92,100,0.38,RU,1670196035
354,half moon bay,37.4636,-122.4286,16.55,74,40,6.17,US,1670196035
355,cidreira,-30.1811,-50.2056,22.18,94,65,1.4,BR,1670196035
356,peleduy,59.6289,112.7406,-14.64,93,100,7.55,RU,1670196036
357,berdigestyakh,62.0989,126.6992,-14.16,95,100,3.8,RU,1670196036
358,batagay,67.6333,134.6333,-26.93,98,100,1.74,RU,1670196037
359,novyy urengoy,66.0833,76.6333,-4.09,94,100,6.58,RU,1670196037
360,zhoucun,36.8167,117.8167,-2.84,37,60,0.91,CN,1670196037
361,jinxi,30.4323,116.2922,4.85,87,100,2.23,CN,1670196038
362,karla,59.3723,24.9275,-2.46,91,100,0.51,EE,1670196038
363,whitefish,48.4111,-114.3376,-8.78,85,40,2.06,US,1670195935
364,evensk,61.95,159.2333,-15.38,74,100,5.42,RU,1670196039
365,van,38.4924,43.3831,3.64,65,40,1.54,TR,1670196039
